Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./data/cifar-100-python.tar.gz
Extracting ./data/cifar-100-python.tar.gz to ./data
Files already downloaded and verified
Dataset: Cifar 100 | Images/Client: 5000

--- Starting DGL | Clients: 10 | Splits: 2 ---
[Std_1_5] Epoch 46 | Train: 68.6% | Test: 57.4% | Time: 24.9s | GPU: 1059MB
[Std_1_5] Epoch 47 | Train: 68.9% | Test: 54.3% | Time: 24.9s | GPU: 1059MB
[Std_1_5] Epoch 48 | Train: 69.3% | Test: 55.8% | Time: 25.2s | GPU: 1059MB
[Std_1_5] Epoch 49 | Train: 69.9% | Test: 55.9% | Time: 24.6s | GPU: 1059MB
[Std_1_5] Epoch 50 | Train: 70.4% | Test: 56.9% | Time: 24.6s | GPU: 1059MB
Files already downloaded and verified
Files already downloaded and verified
Dataset: Cifar 100 | Images/Client: 50000

--- Starting DGL | Clients: 1 | Splits: 2 ---
[DGL_1_1] Epoch 1 | Train: 5.6% | Test: 7.3% | Time: 26.8s | GPU: 761MB
[DGL_1_1] Epoch 2 | Train: 10.7% | Test: 13.0% | Time: 28.2s | GPU: 761MB
[DGL_1_1] Epoch 3 | Train: 14.5% | Test: 14.1% | Time: 26.8s | GPU: 761MB
[DGL_1_1] Epoch 4 | Train: 17.1% | Test: 17.4% | Time: 27.0s | GPU: 761MB
[DGL_1_1] Epoch 5 | Train: 19.4% | Test: 18.5% | Time: 28.4s | GPU: 761MB
[DGL_1_1] Epoch 6 | Train: 22.0% | Test: 23.6% | Time: 27.8s | GPU: 761MB
[DGL_1_1] Epoch 7 | Train: 24.2% | Test: 24.4% | Time: 26.8s | GPU: 761MB
[DGL_1_1] Epoch 8 | Train: 27.1% | Test: 27.9% | Time: 26.9s | GPU: 761MB
[DGL_1_1] Epoch 9 | Train: 29.5% | Test: 25.8% | Time: 28.7s | GPU: 761MB
[DGL_1_1] Epoch 10 | Train: 31.6% | Test: 28.9% | Time: 27.1s | GPU: 761MB
[DGL_1_1] Epoch 11 | Train: 33.6% | Test: 27.8% | Time: 27.5s | GPU: 761MB
[DGL_1_1] Epoch 12 | Train: 35.4% | Test: 32.5% | Time: 28.3s | GPU: 761MB
[DGL_1_1] Epoch 13 | Train: 37.2% | Test: 34.7% | Time: 26.8s | GPU: 761MB
[DGL_1_1] Epoch 14 | Train: 38.6% | Test: 34.5% | Time: 26.7s | GPU: 761MB
[DGL_1_1] Epoch 15 | Train: 40.6% | Test: 36.3% | Time: 27.5s | GPU: 761MB
[DGL_1_1] Epoch 16 | Train: 41.9% | Test: 37.2% | Time: 28.3s | GPU: 761MB
[DGL_1_1] Epoch 17 | Train: 43.0% | Test: 42.4% | Time: 29.4s | GPU: 761MB
[DGL_1_1] Epoch 18 | Train: 44.6% | Test: 42.0% | Time: 26.9s | GPU: 761MB
[DGL_1_1] Epoch 19 | Train: 45.7% | Test: 36.9% | Time: 29.1s | GPU: 761MB
[DGL_1_1] Epoch 20 | Train: 46.9% | Test: 41.0% | Time: 27.3s | GPU: 761MB
[DGL_1_1] Epoch 21 | Train: 48.4% | Test: 45.0% | Time: 27.0s | GPU: 761MB
[DGL_1_1] Epoch 22 | Train: 49.1% | Test: 45.4% | Time: 26.8s | GPU: 761MB
[DGL_1_1] Epoch 23 | Train: 50.5% | Test: 45.0% | Time: 27.5s | GPU: 761MB
[DGL_1_1] Epoch 24 | Train: 50.9% | Test: 46.0% | Time: 27.0s | GPU: 761MB
[DGL_1_1] Epoch 25 | Train: 52.2% | Test: 45.8% | Time: 27.6s | GPU: 761MB
[DGL_1_1] Epoch 26 | Train: 52.9% | Test: 48.0% | Time: 27.0s | GPU: 761MB
[DGL_1_1] Epoch 27 | Train: 53.8% | Test: 44.2% | Time: 26.8s | GPU: 761MB
[DGL_1_1] Epoch 28 | Train: 54.6% | Test: 46.7% | Time: 27.1s | GPU: 761MB
